,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,Dr. Farig Yousuf Sadeque,,Initial,FYS,,,
,,Programme:,CSE,,Semester:,Summer 2026,,,
,,Email:,farig.sadeque@bracu.ac.bd,,Room:,4G29,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,,,,,,,,,
Sunday,,,,,"CSE440-01
09C-16T",,,,
Monday,,,,,,,,,
Tuesday,,,,,"CSE440-01
09C-16T",,,"CSE751-01
08F-18C","CSE751-01
08F-18C"
Wednesday,,,,,,,,,
Thursday,,,,,,,,,
Friday,,,,,,,,,
**Each slot is of 1 hour 20 minutes,,,,,,,,,
**You can edit this footnote,,,,,,,,,
