,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,Dr. Taiabul Haque,,Initial,TLQ,,,
,,Programme:,CSE,,Semester:,Summer 2026,,,
,,Email:,taiabul.haque@bracu.ac.bd,,Room:,4G01,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,,,,,,,,,
Sunday,,,,,,,,,
Monday,,,,,,,,"CSE726-01
08F-18C","CSE726-01
08F-18C"
Tuesday,,,,,,,,,
Wednesday,,,,,,,,"CSE773-01
09A-04C","CSE773-01
09A-04C"
Thursday,,,,,,,,,
Friday,,,,,,,,,
**Each slot is of 1 hour 20 minutes,,,,,,,,,
**You can edit this footnote,,,,,,,,,
