,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,Dr. Mohammad Kaykobad,,Initial,KYK,,,
,,Programme:,CSE,,Semester:,Summer 2026,,,
,,Email:,kaykobad@bracu.ac.bd,,Room:,4G11,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,,,,,,,,,
Sunday,,,,,,,,,
Monday,,,,,,,,"CSE708-01
08H-26C","CSE708-01
08H-26C"
Tuesday,,,,,,,,"CSE717-01
08H-22C","CSE717-01
08H-22C"
Wednesday,,,,,,,,,
Thursday,,,,,,,,,
Friday,,,,,,,,,
**Each slot is of 1 hour 20 minutes,,,,,,,,,
**You can edit this footnote,,,,,,,,,
