,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,Mr. Arif Shakil,,Initial,ARF,,,
,,Programme:,CSE,,Semester:,Spring 2026,,,
,,Email:,arif.shakil@bracu.ac.bd,,Room:,4G03,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,,,,,,,,,
Sunday,,,,,,,,,
Monday,,,"Consultation
(from 12 Noon; If earlier, DM)","CSE421-01
10A-04C","CSE421-02
10A-04C",Consultation,"Consultation
(by Appointment)",,
Tuesday,,,,,,,,,
Wednesday,,,"Consultation
(from 12 Noon; If earlier, DM)","CSE421-01
10A-04C","CSE421-02
10A-04C",Consultation,"Consultation
(by Appointment)",,
Thursday,,,,,,,,,
Friday,,,,,,,,,
**Each slot is of 1 hour 20 minutes,,,,,,,,,
"**You can come to 10A-4C in between my classes. At 5, you may find me on the 13th floor in the Sports Gym.",,,,,,,,,
