,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,Dr. Md Sadek Ferdous,,Initial,SDF,,,
,,Programme:,CSE,,Semester:,Spring 2026,,,
,,Email:,sadek.ferdous@bracu.ac.bd,,Room:,4G10,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,,,,,,,,,
Sunday,,,,,,,,"CSE722-01
09A-01C","CSE722-01
09A-01C"
Monday,,,"CSE446-01
10A-04C",,,,,,
Tuesday,,,,,,,,,
Wednesday,,,"CSE446-01
10A-04C",,,,,,
Thursday,,,,,,,,,
Friday,,,,,,,,,
**Each slot is of 1 hour 20 minutes,,,,,,,,,
**You can edit this footnote,,,,,,,,,
