,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,Dr. Farig Yousuf Sadeque,,Initial,FYS,,,
,,Programme:,CSE,,Semester:,Spring 2026,,,
,,Email:,farig.sadeque@bracu.ac.bd,,Room:,4G29,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,,,,,,,,,
Sunday,,,Research,Research,Research,Research,,,
Monday,,,Research,"CSE440-01
09C-16T",Consultation,Consultation,,,
Tuesday,,,Research,Research,Research,Research,Consultation,"CSE751-01
08H-25C","CSE751-01
08H-25C"
Wednesday,,,Research,"CSE440-01
09C-16T",Consultation,Consultation,,,
Thursday,,,,,,,,,
Friday,,,,,,,,,
**Each slot is of 1 hour 20 minutes,,,,,,,,,
**You can edit this footnote,,,,,,,,,
