,BRAC University,,,,,,,,
,Consultation Hour Planner,,,,,,,,
,,Faculty:,Dr. Md. Golam Rabiul Alam,,Initial,GRA,,,
,,Programme:,CSE,,Semester:,Spring 2026,,,
,,Email:,rabiul.alam@bracu.ac.bd,,Room:,4G23,,,
,,,,,,,,,
,8:00 AM,9:30 AM,11:00 AM,12:30 PM,2:00 PM,3:30 PM,5:00 PM,6:00 PM,7:30 PM
Saturday,,,,,"CSE437-01
09C-16T,CSE437-02
09C-16T",,,"CSE710-01
08B-10C","CSE710-01
08B-10C"
Sunday,,,,,,,,,
Monday,,,,,,,,"CSE711-01
08H-27C","CSE711-01
08H-27C"
Tuesday,,,,,Consultation,Consultation,Consultation,,
Wednesday,,,,,,Consultation,Consultation,,
Thursday,,,,,"CSE437-01
09C-16T,CSE437-02
09C-16T",,,"CSE761-01
08D-12C","CSE761-01
08D-12C"
Friday,,,,,,,,,
**Each slot is of 1 hour 20 minutes,,,,,,,,,
**You can edit this footnote,,,,,,,,,
